Timestamp,Open,High,Low,Close
2022-09-23,3.12,3.12,3.12,3.12,
2022-09-26,3.3,3.3,3.3,3.3,
2022-09-27,3.26,3.26,3.26,3.26,
2022-09-28,3.29,3.29,3.29,3.29,
2022-09-29,3.26,3.26,3.26,3.26,
2022-09-30,3.22,3.22,3.22,3.22,
2022-10-03,3.34,3.34,3.34,3.34,
2022-10-04,3.32,3.32,3.32,3.32,
2022-10-05,3.33,3.33,3.33,3.33,
2022-10-06,3.32,3.32,3.32,3.32,
2022-10-07,3.31,3.31,3.31,3.31,
2022-10-11,3.53,3.53,3.53,3.53,
2022-10-12,3.56,3.56,3.56,3.56,
2022-10-13,3.64,3.64,3.64,3.64,
2022-10-14,3.65,3.65,3.65,3.65,
2022-10-17,3.82,3.82,3.82,3.82,
2022-10-18,3.89,3.89,3.89,3.89,
2022-10-19,3.91,3.91,3.91,3.91,
2022-10-20,3.91,3.91,3.91,3.91,
2022-10-21,3.9,3.9,3.9,3.9,
2022-10-24,4.0,4.0,4.0,4.0,
2022-10-25,3.97,3.97,3.97,3.97,
2022-10-26,3.94,3.94,3.94,3.94,
2022-10-27,3.95,3.95,3.95,3.95,
2022-10-28,3.99,3.99,3.99,3.99,
2022-10-31,4.06,4.06,4.06,4.06,
2022-11-01,4.06,4.06,4.06,4.06,
2022-11-02,4.04,4.04,4.04,4.04,
2022-11-03,4.06,4.06,4.06,4.06,
2022-11-04,4.02,4.02,4.02,4.02,
2022-11-07,4.12,4.12,4.12,4.12,
2022-11-08,4.1,4.1,4.1,4.1,
2022-11-09,4.11,4.11,4.11,4.11,
2022-11-10,4.09,4.09,4.09,4.09,
2022-11-14,4.16,4.16,4.16,4.16,
2022-11-15,4.14,4.14,4.14,4.14,
2022-11-16,4.14,4.14,4.14,4.14,
2022-11-17,4.13,4.13,4.13,4.13,
2022-11-18,4.15,4.15,4.15,4.15,
2022-11-21,4.23,4.23,4.23,4.23,
2022-11-22,4.21,4.21,4.21,4.21,
2022-11-23,4.21,4.21,4.21,4.21,
2022-11-25,4.22,4.22,4.22,4.22,
2022-11-28,4.3,4.3,4.3,4.3,
2022-11-29,4.27,4.27,4.27,4.27,
2022-11-30,4.27,4.27,4.27,4.27,
2022-12-01,4.22,4.22,4.22,4.22,
2022-12-02,4.22,4.22,4.22,4.22,
2022-12-05,4.27,4.27,4.27,4.27,
2022-12-06,4.27,4.27,4.27,4.27,
2022-12-07,4.2,4.2,4.2,4.2,
2022-12-08,4.17,4.17,4.17,4.17,
2022-12-09,4.19,4.19,4.19,4.19,
2022-12-12,4.29,4.29,4.29,4.29,
2022-12-13,4.26,4.26,4.26,4.26,
2022-12-14,4.23,4.23,4.23,4.23,
2022-12-15,4.22,4.22,4.22,4.22,
2022-12-16,4.2,4.2,4.2,4.2,
2022-12-19,4.28,4.28,4.28,4.28,
2022-12-20,4.25,4.25,4.25,4.25,
2022-12-21,4.22,4.22,4.22,4.22,
2022-12-22,4.24,4.24,4.24,4.24,
2022-12-23,4.23,4.23,4.23,4.23,
2022-12-27,4.35,4.35,4.35,4.35,
